MODEL COMPARISON SUMMARY
============================================================

Model                      | Mode       | Accuracy (%) | Excluded/Total  | Word Count     
----------------------------------------------------------------------
llavaonevision_0.5B        | 0-shot     | 6.94         | 0/1038          | 4.57      
llavaonevision_7B          | 0-shot     | 2.89         | 0/1038          | 4.57      
MedVLM-R1                  | 0-shot     | 2.89         | 0/1038          | 4.57      
llavamed_7B                | 0-shot     | 0.00         | 0/1038          | 4.57      
llama33textonly (baseline) | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_7B                   | 0-shot     | 0.00         | 0/1038          | 4.57      
llavanext_7B               | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_13B                  | 0-shot     | 0.00         | 0/1038          | 4.57      
medgemma_4b                | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen3B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
llama32_vision_90b         | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen7B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
gpt-4o                     | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen32B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen72B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
----------------------------------------------------------------------
qwen7B                     | ICL        | 35.36        | 0/1038          | 4.57      
qwen3B                     | ICL        | 28.03        | 0/1038          | 4.57      
llama32_vision_90b         | ICL        | 27.46        | 0/1038          | 4.57      
llavaonevision_7B          | ICL        | 25.72        | 0/1038          | 4.57      
random (baseline)          | ICL        | 25.34        | 0/1038          | 4.57      
qwen32B                    | ICL        | 25.24        | 0/1038          | 4.57      
qwen72B                    | ICL        | 24.37        | 0/1038          | 4.57      
MedVLM-R1                  | ICL        | 24.28        | 0/1038          | 4.57      
llava_13B                  | ICL        | 21.10        | 0/1038          | 4.57      
llava_7B                   | ICL        | 20.52        | 0/1038          | 4.57      
majority (baseline)        | ICL        | 17.53        | 0/1038          | 4.57      
llavaonevision_0.5B        | ICL        | 14.26        | 0/1038          | 4.57      
medgemma_4b                | ICL        | 13.29        | 0/1038          | 4.57      
gpt-4o                     | ICL        | 7.80         | 0/1038          | 4.57      
llama33textonly (baseline) | ICL        | 3.56         | 0/1038          | 4.57      
llavanext_7B               | ICL        | 3.56         | 0/1038          | 4.57      
llavamed_7B                | ICL        | 0.19         | 0/1038          | 4.57      


PER-PROBLEM ACCURACY COMPARISON (%) - 0-shot
------------------------------------------------------------
Problem ID   | llavamed_7B  | llama33textonly (baseline) | llava_7B     | llavanext_7B | llava_13B    | llavaonevision_0.5B | llavaonevision_7B | MedVLM-R1    | medgemma_4b  | qwen3B       | llama32_vision_90b | qwen7B       | gpt-4o       | qwen32B      | qwen72B     
53694f7c-93a9-4c85-af33-363e5f08af0d_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
53694f7c-93a9-4c85-af33-363e5f08af0d_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
56958e7e-2978-4f1e-8ed7-e5dcc8fbe82d_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5c2a91db-7496-40c9-a919-ff9ec03b893b_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d42ff8a-179d-44c1-9cdd-b34e9b291e92_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d42ff8a-179d-44c1-9cdd-b34e9b291e92_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d42ff8a-179d-44c1-9cdd-b34e9b291e92_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d42ff8a-179d-44c1-9cdd-b34e9b291e92_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d42ff8a-179d-44c1-9cdd-b34e9b291e92_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d42ff8a-179d-44c1-9cdd-b34e9b291e92_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
5d954983-45e2-4853-b94a-19f21492884c_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
